ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CASE WHLD TRACTOR,ARMÉE CANADIENNE,2005,2,,,,,
CASE WHLD TRACTOR,ARMÉE CANADIENNE,2007,2,,,,,
CATERPILLAR CAT FORKLIFT,ARMÉE CANADIENNE,2008,3,,,,,
CATERPILLAR CHALLENGER TRACTOR,ARMÉE CANADIENNE,2004,1,,,,,
CATERPILLAR CHALLENGER TRACTOR,ARMÉE CANADIENNE,2008,1,,,,,
CATERPILLAR LANDFILL COMPACTOR,ARMÉE CANADIENNE,2006,2,,,,,
CATERPILLAR PALLET TRUCK,ARMÉE CANADIENNE,2008,1,,,,,
CATERPILLAR ROLLER,ARMÉE CANADIENNE,1998,1,,,,,
CATERPILLAR SKID LOADER,ARMÉE CANADIENNE,2007,1,,,,,
CATERPILLAR TRACTOR,ARMÉE CANADIENNE,1987,18,,,,,
CATERPILLAR TRACTOR,ARMÉE CANADIENNE,1988,1,,,,,
CATERPILLAR TRACTOR,ARMÉE CANADIENNE,1993,1,,,,,
CATERPILLAR TRACTOR,ARMÉE CANADIENNE,1998,1,,,,,
CATERPILLAR TRACTOR,ARMÉE CANADIENNE,2009,4,,,,,
CDC TRAILER VAN,ARMÉE CANADIENNE,2001,2,,,,,
CDN ANGLO TRAILER,ARMÉE CANADIENNE,1986,2,,,,,
CDN CARGO TRUCK 2 1/2T 6X6,ARMÉE CANADIENNE,Inconnu,935,,,,,
CERTIFIED CUSTOM TRAILER,ARMÉE CANADIENNE,2008,2,,,,,
CERTIFIED CUSTOM TRAILER 2000KG 4.5M,ARMÉE CANADIENNE,2007,1,,,,,
CHALLENGER TRACTOR,ARMÉE CANADIENNE,2005,5,,,,,
CHAMPION ROAD GRADER,ARMÉE CANADIENNE,1986,9,,,,,
CHAMPION ROAD MOTORIZED GRADER,ARMÉE CANADIENNE,1993,5,,,,,
CHAMPION ROAD MOTORIZED GRADER,ARMÉE CANADIENNE,1997,1,,,,,
CHAMPION ROAD MOTORIZED GRADER,ARMÉE CANADIENNE,2000,6,,,,,
CHARLATTE TRACTOR,ARMÉE CANADIENNE,2004,2,,,,,
CHARLATTE TRACTOR,ARMÉE CANADIENNE,2006,1,,,,,
CHARLATTE TRACTOR,ARMÉE CANADIENNE,2012,5,,,,,
CHARLATTE TRACTOR,ARMÉE CANADIENNE,2013,5,,,,,
CHEVROLET ASTRO CARRY-ALL TRUCK,ARMÉE CANADIENNE,2003,1,,,,,
CHEVROLET ASTRO CARRY-ALL TRUCK,ARMÉE CANADIENNE,2005,1,,,,,
CHEVROLET BLAZER UTILITY TRUCK,ARMÉE CANADIENNE,2002,2,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2001,1,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2002,17,,,,,
